"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2024","0.6578","0.6589","0.6593","0.6549","","-0.14%"
"04/04/2024","0.6587","0.6564","0.6621","0.6561","","0.37%"
"04/03/2024","0.6563","0.6514","0.6571","0.6502","","0.71%"
"04/02/2024","0.6517","0.6489","0.6525","0.6482","","0.45%"
"04/01/2024","0.6488","0.6521","0.6540","0.6480","","-0.51%"
"03/29/2024","0.6521","0.6516","0.6535","0.6504","","0.09%"
"03/28/2024","0.6515","0.6535","0.6542","0.6485","","-0.28%"
"03/27/2024","0.6533","0.6533","0.6540","0.6510","","0.02%"
"03/26/2024","0.6532","0.6539","0.6561","0.6529","","-0.11%"
"03/25/2024","0.6539","0.6522","0.6547","0.6508","","0.38%"
"03/22/2024","0.6514","0.6570","0.6581","0.6510","","-0.84%"
"03/21/2024","0.6569","0.6586","0.6636","0.6561","","-0.24%"
"03/20/2024","0.6585","0.6533","0.6589","0.6510","","0.86%"
"03/19/2024","0.6529","0.6559","0.6565","0.6503","","-0.46%"
"03/18/2024","0.6559","0.6562","0.6575","0.6550","","-0.02%"
"03/15/2024","0.6560","0.6579","0.6586","0.6551","","-0.30%"
"03/14/2024","0.6580","0.6622","0.6633","0.6568","","-0.60%"
"03/13/2024","0.6620","0.6604","0.6636","0.6600","","0.23%"
"03/12/2024","0.6605","0.6614","0.6640","0.6584","","-0.14%"
"03/11/2024","0.6614","0.6630","0.6637","0.6596","","-0.20%"
"03/08/2024","0.6627","0.6621","0.6669","0.6612","","0.17%"
"03/07/2024","0.6616","0.6565","0.6626","0.6560","","0.81%"
"03/06/2024","0.6563","0.6502","0.6582","0.6492","","0.92%"
"03/05/2024","0.6503","0.6513","0.6522","0.6477","","-0.12%"
"03/04/2024","0.6511","0.6526","0.6536","0.6507","","-0.18%"
"03/01/2024","0.6523","0.6500","0.6536","0.6489","","0.43%"
"02/29/2024","0.6495","0.6496","0.6532","0.6486","","-0.02%"
"02/28/2024","0.6496","0.6546","0.6550","0.6489","","-0.72%"
"02/27/2024","0.6543","0.6542","0.6560","0.6525","","0.05%"
"02/26/2024","0.6540","0.6558","0.6571","0.6531","","-0.30%"
"02/23/2024","0.6560","0.6557","0.6582","0.6550","","0.11%"
